;Creditability;Account_Balance;Duration_of_Credit_monthly;Payment_Status_of_Previous_Credit;Purpose;Credit_Amount;Value_Savings_Stocks;Length_of_current_employment;Instalment_per_cent;Sex_Marital_Status;Guarantors;Duration_in_Current_address;Most_valuable_available_asset;Age_years;Concurrent_Credits;Type_of_apartment;No_of_Credits_at_this_Bank;Occupation;No_of_dependents;Telephone;Foreign_Worker;Credit_per_Month;Credit_Age_Ratio
0;1;1;-0.2408572253028646;4;2;-0.7876569203238233;1;2;4;2;1;4;2;-1.2815730827214538;3;1;1;3;1;1;1;-0.7131471239766304;-0.5431545162771396
1;1;1;-0.9875727016121244;4;0;-0.16738429073131575;1;3;2;3;1;2;1;0.040363118682878944;3;1;2;3;2;1;1;0.934161357546808;-0.23840624983000028
2;1;2;-0.7386675428423711;2;9;-0.8613807528696756;2;4;2;2;1;4;1;-1.1053149225342094;3;1;1;2;1;1;1;-0.6361954747518049;-0.6899194201666994
3;1;1;-0.7386675428423711;4;0;-0.4073411880079601;1;3;3;3;1;2;1;0.30475035896374547;3;1;2;2;2;1;2;0.05962849694467494;-0.494282351524556
4;1;1;-0.7386675428423711;4;0;-0.38997355437936987;1;3;4;3;1;4;2;0.21662127887012333;1;2;2;2;1;1;2;0.08624471444126147;-0.4644482019088015
5;1;1;-0.90460431535554;4;0;-0.3651626491956696;1;2;1;3;1;3;1;1.0979120798063453;3;1;2;2;2;1;2;0.36772479417046977;-0.578947754852355
6;1;1;-1.070541087868709;4;0;0.044926169340633995;1;4;1;3;1;4;1;0.30475035896374547;3;2;2;2;1;1;2;1.6756131306660078;-0.13559198540288275
7;1;1;-1.2364778603818778;4;0;-0.6770711715050448;1;2;2;3;1;4;1;0.39287943905736766;3;2;1;2;2;1;2;0.3855413642498177;-0.7177680947266588
8;1;4;-0.2408572253028646;4;3;-0.7702892866952331;1;1;4;2;1;4;3;2.596106441397922;3;2;2;1;1;1;1;-0.6954029789789059;-0.9055956302935468
9;1;2;0.256953092236642;2;3;0.1725251102853784;3;1;1;2;1;4;4;-1.1053149225342094;3;1;1;1;1;1;1;-0.07236621431390788;0.7004885163570815
10;1;1;-0.8216359290989556;4;0;0.22462801117114906;1;3;2;3;1;2;1;0.040363118682878944;3;1;2;3;2;1;1;1.2209646807753336;0.0984047535723913
11;1;1;0.7547634097761485;4;1;1.0334635201597788;2;4;1;4;1;4;3;-1.017185842440587;3;1;2;3;1;1;1;0.2512652629200987;1.7354097705611398
12;1;1;-1.2364778603818778;4;3;-0.46582403594096794;1;4;1;2;1;4;3;-0.400282281785232;3;2;1;3;1;1;1;1.0330215939627014;-0.3986974807264834
13;1;2;2.2481943623946683;3;10;1.5279094163206637;2;1;2;3;1;4;4;-0.400282281785232;3;2;1;4;1;2;1;-0.06340361046301646;1.5905759308404617
14;1;1;-0.2408572253028646;2;3;-0.47326730749607804;5;4;2;4;1;4;3;-1.1053149225342094;3;1;2;2;1;1;1;-0.39194188697700627;-0.16798020505064176
15;1;1;-1.2364778603818778;2;3;-0.2212593991302078;3;3;2;3;1;3;1;0.7453957594318564;3;1;1;3;2;1;1;1.7826211887645298;-0.43125726492954486
16;1;1;-0.8216359290989556;4;0;0.2366790222603749;1;3;1;3;1;2;1;0.39287943905736766;3;2;2;2;2;1;1;1.2411120216632876;-0.011195861368405127
17;1;2;-0.2408572253028646;2;3;-0.020645508644859662;3;2;1;4;1;3;1;-0.9290567623469651;3;1;1;3;1;1;1;0.07049225918817963;0.31819068248339855
18;1;2;1.252573727315655;4;3;-0.3311362649437377;1;5;4;3;1;4;1;0.040363118682878944;3;2;1;3;1;1;1;-0.6698731377066697;-0.37909945378289794
19;1;4;-0.8216359290989556;4;0;1.402437124391665;1;3;1;3;1;4;2;0.30475035896374547;3;2;2;2;1;1;1;3.1900709681480417;0.9410413235673437
20;1;1;-1.2364778603818778;4;0;0.14346090707018663;1;3;1;3;1;3;1;0.12849219877650114;3;1;3;3;2;1;1;2.900502323621169;-0.001588327907879847
